0.60 	0.05 	0.05 	0.01 	0.02 	0.25
0.60 	0.10 	0.15 	0.04 	0.10 	0.30
0.60 	0.15 	0.25 	0.02 	0.08 	0.35
0.60 	0.20 	0.10 	0.05 	0.06 	0.40
0.60 	0.25 	0.20 	0.03 	0.04 	0.45
0.80 	0.05 	0.25 	0.04 	0.06 	0.45
0.80 	0.10 	0.10 	0.02 	0.04 	0.25
0.80 	0.15 	0.20 	0.05 	0.02 	0.30
0.80 	0.20 	0.05 	0.03 	0.10 	0.35
0.80 	0.25 	0.15 	0.01 	0.08 	0.40
1.00 	0.05 	0.20 	0.02 	0.10 	0.40
1.00 	0.10 	0.05 	0.05 	0.08 	0.45
1.00 	0.15 	0.15 	0.03 	0.06 	0.25
1.00 	0.20 	0.25 	0.01 	0.04 	0.30
1.00 	0.25 	0.10 	0.04 	0.02 	0.35
1.20 	0.05 	0.15 	0.05 	0.04 	0.35
1.20 	0.10 	0.25 	0.03 	0.02 	0.40
1.20 	0.15 	0.10 	0.01 	0.10 	0.45
1.20 	0.20 	0.20 	0.04 	0.08 	0.25
1.20 	0.25 	0.05 	0.02 	0.06 	0.30
1.40 	0.05 	0.10 	0.03 	0.08 	0.30
1.40 	0.10 	0.20 	0.01 	0.06 	0.35
1.40 	0.15 	0.05 	0.04 	0.04 	0.40
1.40 	0.20 	0.15 	0.02 	0.02 	0.45
1.40 	0.25 	0.25 	0.05 	0.10 	0.25
