2.20 	0.40 	0.30 	1.40 	0.05 	0.65
2.20 	0.40 	0.30 	1.40 	0.05 	0.65
2.20 	0.40 	0.30 	1.40 	0.05 	0.65
2.20 	0.40 	0.30 	1.40 	0.05 	0.65
2.20 	0.40 	0.30 	1.40 	0.05 	0.65
2.20 	0.40 	0.30 	1.40 	0.05 	0.65
2.20 	0.40 	0.30 	1.40 	0.05 	0.65
2.20 	0.40 	0.30 	1.40 	0.05 	0.65
2.20 	0.40 	0.30 	1.40 	0.05 	0.65
2.20 	0.40 	0.30 	1.40 	0.05 	0.65
2.20 	0.40 	0.30 	1.40 	0.05 	0.65
2.20 	0.40 	0.30 	1.40 	0.05 	0.65
2.00 	0.40 	0.10 	0.80 	0.03 	0.70
2.00 	0.40 	0.10 	0.80 	0.03 	0.70
2.00 	0.40 	0.10 	0.80 	0.03 	0.70
2.00 	0.40 	0.10 	0.80 	0.03 	0.70
2.00 	0.40 	0.10 	0.80 	0.03 	0.70
2.00 	0.40 	0.10 	0.80 	0.03 	0.70
2.00 	0.20 	0.20 	1.40 	0.02 	0.75
2.00 	0.20 	0.20 	1.40 	0.02 	0.75
2.00 	0.20 	0.20 	1.40 	0.02 	0.75
2.00 	0.20 	0.20 	1.40 	0.02 	0.75
2.00 	0.20 	0.20 	1.40 	0.02 	0.75
2.00 	0.20 	0.20 	1.40 	0.02 	0.75
2.00 	0.20 	0.20 	1.40 	0.02 	0.75
